n,p,v,corpus
翻訳,を,構想する,jnlp
こと,と,する,jnlp
改行,に,置き換える,jnlp
方法,で,行う,jnlp
データ,で,行う,jnlp
推敲,を,行う,jnlp
原因,で,誤る,jnlp
言い替え,を,行なわない,jnlp
例,を,示す,jnlp
制約,を,加えない,jnlp
意味,が,変わる,jnlp
変更,で,変わる,jnlp
出力,が,変わる,jnlp
例,を,チェックする,jnlp
意味,が,変わらない,jnlp
情報,を,使う,jnlp
言い替え,を,抑制する,jnlp
情報,を,利用する,jnlp
こと,で,向上させる,jnlp
性能,を,向上させる,jnlp
場合,が,ある,jnlp
こと,が,分かる,jnlp
関係,を,用いる,jnlp
検索,を,想定する,jnlp
文章,から,切り出す,jnlp
単語,を,切り出す,jnlp
必要,が,ある,jnlp
器,を,用いる,jnlp
アルゴリズム,を,用いる,jnlp
初期値,に,影響される,jnlp
コスト,に,基づく,jnlp
アラインメント,を,行う,jnlp
アラインメント,を,求める,jnlp
コスト,を,する,jnlp
コスト,と,する,jnlp
確率,が,なる,jnlp
ページ,を,含む,jnlp
こと,を,考慮する,jnlp
クラスター,に,マージされる,jnlp
照合,と,異なる,jnlp
元,に,説明する,jnlp
ルール,を,作成する,jnlp
試合,を,戻す,jnlp
振り出し,に,戻す,jnlp
gprp,が,使われる,jnlp
同点,に,追い付く,jnlp
こと,が,確認出来る,jnlp
ルール,を,作成する,jnlp
例,を,示す,jnlp
種類,を,獲得する,jnlp
項目,から,構成される,jnlp
同時,に,満たす,jnlp
項目,を,満たす,jnlp
GP,を,選択する,jnlp
ルール,を,満たす,jnlp
項目,を,満たす,jnlp
必要,が,ある,jnlp
項目,を,満たす,jnlp
必要,が,ある,jnlp
均衡,を,破る,jnlp
先制点,を,上げる,jnlp
リスト,を,並び替えず,jnlp
選好,で,並び替えず,jnlp
リスト,に,保持される,jnlp
構造,を,持つ,jnlp
情報,と,捉える,jnlp
情報,を,用いる,jnlp
判定,に,用いる,jnlp
リスト,に,保持される,jnlp
情報,から,生成する,jnlp
情報,を,生成する,jnlp
リスト,に,保持される,jnlp
後,に,出現する,jnlp
ノード,を,する,jnlp
後,に,出現する,jnlp
表現,と,する,jnlp
スタック,から,Popする,jnlp
名詞句,を,Popする,jnlp
ノード,に,配置する,jnlp
スタック,が,なる,jnlp
空,に,なる,jnlp
名詞句,を,Popする,jnlp
前,に,Popされる,jnlp
ノード,に,配置する,jnlp
此処,で,付与する,jnlp
構造,を,利用する,jnlp
素性,を,呼ぶ,jnlp
為,に,使う,jnlp
8,を,追加する,jnlp
nucle,に,追加する,jnlp
実験,で,使う,jnlp
データ,が,ある,jnlp
8,を,使う,jnlp
学習,に,使う,jnlp
タグ,を,付与しない,jnlp
名,が,ある,jnlp
基本,と,なる,jnlp
訂正,を,行う,jnlp
毎,に,用いる,jnlp
ルール,を,用いる,jnlp
仮説,を,生成する,jnlp
書き替え,を,繰り返す,jnlp
こと,で,訂正する,jnlp
誤り,を,訂正する,jnlp
仮説,を,保持する,jnlp
時,に,陥る,jnlp
所解,に,陥る,jnlp
可能性,を,軽減する,jnlp
仮説,を,持つ,jnlp
ラティス,に,持つ,jnlp
アルゴリズム,で,探索する,jnlp
組み合わせ,を,探索する,jnlp
こと,が,保証される,jnlp
場合,に,限る,jnlp
方法,に,依存する,jnlp
こと,を,意味する,jnlp
単位,を,指定する,jnlp
一意,に,決定出来る,jnlp
程度,に,応じる,jnlp
パターン,が,作成出来る,jnlp
事前,に,翻訳される,jnlp
人手,で,翻訳される,jnlp
訳,を,利用する,jnlp
語彙,が,異なる,jnlp
システム,が,出力する,jnlp
スコア,が,与えられる,jnlp
訳,を,用いる,jnlp
比較,を,行う,jnlp
高齢者,が,する,jnlp
為,に,する,jnlp
ボランティア活動,を,する,jnlp
情,を,持つ,jnlp
教授,が,指導する,jnlp
学生,に,する,jnlp
セクシャルハラスメント,を,する,jnlp
悪感情,を,喚起させられる,jnlp
コード,を,区別する,jnlp
チェック,を,受ける,jnlp
物,を,呼ぶ,jnlp
物,と,する,jnlp
物,を,呼ぶ,jnlp
β,に,該当する,jnlp
d,を,構成する,jnlp
d,に,含まれる,jnlp
r,に,ある,jnlp
関係,が,成り立たない,jnlp
ラベル,を,追加する,jnlp
集合,と,考える,jnlp
d,に,含まれる,jnlp
r,に,ある,jnlp
関係,が,成り立たない,jnlp
集合,を,表す,jnlp
関係,を,計算する,jnlp
類似度,を,定義する,jnlp
必要,が,ある,jnlp
関係,を,計算する,jnlp
単語,を,見なす,jnlp
点,と,見なす,jnlp
座標,を,計算する,jnlp
代わり,に,収集する,jnlp
単語,に,収集する,jnlp
観点,を,収集する,jnlp
法則,に,基づく,jnlp
ベクトル,を,与える,jnlp
類似度,を,定義する,jnlp
処理,が,なる,jnlp
処理,から,なる,jnlp
処理,を,分ける,jnlp
多段,に,分ける,jnlp
こと,が,期待される,jnlp
削除,で,なくなる,jnlp
分野,が,なくなる,jnlp
水準,を,変更する,jnlp
5,に,変更する,jnlp
語,で,除去される,jnlp
分野,が,除去される,jnlp
変更,を,行う,jnlp
人手,で,修正する,jnlp
情報,を,利用する,jnlp
情報,を,凭せる,jnlp
語,に,凭せる,jnlp
こと,を,意味する,jnlp
判断,に,基づく,jnlp
決定,と,比較する,jnlp
評価,で,ある,jnlp
効果,が,ある,jnlp
欄,に,示す,jnlp
水準,を,示す,jnlp
語,に,絞り込まれる,jnlp
分野,を,連想する,jnlp
水準,が,変更される,jnlp
2,へ,変更される,jnlp
分野,を,連想する,jnlp
2,に,変更される,jnlp
状態,が,用いられる,jnlp
観点,が,用いられる,jnlp
前提,で,行う,jnlp
音声,を,用いる,jnlp
機械,が,する,jnlp
対話,を,する,jnlp
モデル,を,提案する,jnlp
システム,を,動作させる,jnlp
意図,と,関連付ける,jnlp
入力,に,用いる,jnlp
音声,を,用いる,jnlp
エラー,を,扱う,jnlp
機構,を,組み込む,jnlp
必要,が,ある,jnlp
連体形,が,ある,jnlp
述語,を,形成しない,jnlp
述語,を,形成する,jnlp
名詞,に,接尾する,jnlp
評価,に,用いる,jnlp
箇所,に,現れる,jnlp
名詞,に,掛かる,jnlp
文書,から,なる,jnlp
比率,で,分割される,jnlp
テストデータ,に,分割される,jnlp
情報,が,アノテーションされる,jnlp
名,から,なる,jnlp
タスク,で,される,jnlp
対象,と,される,jnlp
文脈,を,考慮する,jnlp
カテゴリー,を,学習する,jnlp
必要,が,ある,jnlp
こと,を,示す,jnlp
文脈,を,考慮する,jnlp
関係,を,学習する,jnlp
モデル,を,考える,jnlp
点,が,異なる,jnlp
目,に,示す,jnlp
モデル,を,用いる,jnlp
結果,を,示す,jnlp
こと,が,分かる,jnlp
性能,を,評価する,jnlp
性能,を,示す,jnlp
モデル,が,有する,jnlp
情報,を,有する,jnlp
こと,が,分かる,jnlp
値,と,なる,jnlp
国,を,区別する,jnlp
こと,を,示す,jnlp
国,を,判断する,jnlp
向上,に,ある,jnlp
限界,が,ある,jnlp
こと,が,分かる,jnlp
次,に,提案する,jnlp
其々,に,対処する,jnlp
手法,を,提案する,jnlp
法,を,用いる,jnlp
モデル,を,利用する,jnlp
共,に,する,jnlp
単語,を,する,jnlp
対象,に,する,jnlp
実験,を,行う,jnlp
有効性,を,示す,jnlp
PB,に,限定する,jnlp
一般性,を,考慮する,jnlp
モデル,を,利用する,jnlp
wsd,に,利用する,jnlp
手法,を,考案する,jnlp
未知語,と,なる,jnlp
表現,を,認識出来る,jnlp
規則,を,持つ,jnlp
システム,で,検出出来る,jnlp
未知語,と,する,jnlp
精度,を,保つ,jnlp
訂正,が,行う,jnlp
利点,が,ある,jnlp
そこ,で,調査する,jnlp
性質,を,調査する,jnlp
制限,が,利用出来る,jnlp
制限,を,調査する,jnlp
作業者,が,収集する,jnlp
実際,に,収集する,jnlp
文書,を,収集する,jnlp
情報,を,記録する,jnlp
労力,を,軽減する,jnlp
数,に,設ける,jnlp
制限,を,設ける,jnlp
クエリー,を,用いる,jnlp
クエリー,が,問う,jnlp
集合,に,なる,jnlp
論点,を,問う,jnlp
クエリー,を,用いる,jnlp
集合,を,収集する,jnlp
等,を,マージする,jnlp
集合,に,マージする,jnlp
論点,を,含む,jnlp
集合,を,決定する,jnlp
こと,と,する,jnlp
論点,を,問う,jnlp
クエリー,で,収集する,jnlp
文書,が,存在する,jnlp
収集,を,行う,jnlp
段階,で,行う,jnlp
記述,が,含まれる,jnlp
集合,が,来る,jnlp
上位,に,来る,jnlp
クエリー,を,調査する,jnlp
記述,が,含まれる,jnlp
集合,から,マージする,jnlp
順,に,マージする,jnlp
多様性,を,保証する,jnlp
TSUBAKI,を,利用する,jnlp
クエリー,を,調査する,jnlp
記述,を,含む,jnlp
集合,を,絞り込む,jnlp
クエリー,が,存在する,jnlp
表現,に,囚われない,jnlp
毎,に,収集する,jnlp
文書,を,収集する,jnlp
記述,が,含まれる,jnlp
集合,から,マージする,jnlp
順,に,マージする,jnlp
以上,に,なる,jnlp
集合,を,検索する,jnlp
検索,に,用いない,jnlp
クエリー,と,区別出来る,jnlp
レポート,に,含まれる,jnlp
分析,が,出来る,jnlp
文書,を,識別する,jnlp
ID,を,利用する,jnlp
値,と,する,jnlp
調査,に,用いる,jnlp
集合,が,収録される,jnlp
コーパス,が,利用出来る,jnlp
変化,を,確認する,jnlp
コーパス,に,頼らない,jnlp
コーパス,から,訓練される,jnlp
コーパス,から,訓練される,jnlp
モデル,に,匹敵する,jnlp
性能,を,発揮出来る,jnlp
こと,を,示す,jnlp
度合い,から,判断する,jnlp
関連性,を,判断する,jnlp
人,が,思う,jnlp
共,に,使われる,jnlp
共,に,使われる,jnlp
対,が,出現する,jnlp
関連,が,ある,jnlp
こと,を,入れる,jnlp
考慮,に,入れる,jnlp
計算方式,を,提案する,jnlp
次章,で,提案する,jnlp
比率,に,ある,jnlp
差,が,ある,jnlp
間,で,ある,jnlp
比率,に,ある,jnlp
差,が,ある,jnlp
方,が,付き易い,jnlp
対応,が,付き易い,jnlp
傾向,に,ある,jnlp
連携,を,する,jnlp
必要,と,する,jnlp
連携,を,重視する,jnlp
係り先,と,なる,jnlp
削除,を,行う,jnlp
係数,を,用いる,jnlp
アルゴリズム,を,提案する,jnlp
問題,に,帰着させる,jnlp
cpmerge,を,提案する,jnlp
候補,を,保つ,jnlp
解,を,求める,jnlp
性能,を,評価する,jnlp
 ,と,比べる,jnlp
文字列,を,検索出来る,jnlp
こと,を,実証する,jnlp
自然言語処理,を,適用する,jnlp
テキスト,に,適用する,jnlp
成果,が,活用される,jnlp
こと,を,期待する,jnlp
前節,で,説明する,jnlp
形態素,を,設定する,jnlp
文,を,構成する,jnlp
形態素,を,説明出来る,jnlp
文字,を,分解しない,jnlp
母音,に,分解しない,jnlp
そこ,で,考える,jnlp
母音,に,分解せず,jnlp
単位,で,解析出来る,jnlp
こと,を,考える,jnlp
考え方,に,近付く,jnlp
考え方,に,沿う,jnlp
本稿,で,示す,jnlp
文法,を,処理させる,jnlp
3,に,示す,jnlp
関係,を,示す,jnlp
3.2,に,示す,jnlp
条件,を,用いる,jnlp
解析,が,行なわれる,jnlp
なし,に,行なわれる,jnlp
こと,が,分かる,jnlp
条件,に,追加する,jnlp
条件,を,追加する,jnlp
とも,に,得られる,jnlp
値,が,得られる,jnlp
効果,が,分かる,jnlp
率,を,得る,jnlp
候補,に,絞り込まれる,jnlp
以下,に,示す,jnlp
b,で,絞り込まれる,jnlp
語,に,絞り込まれる,jnlp
正解,が,出力される,jnlp
順位,が,変化する,jnlp
分布,を,示す,jnlp
 ,に,示す,jnlp
法,より,下がる,jnlp
方,が,下がる,jnlp
方,が,上がる,jnlp
順位,が,上がる,jnlp
位,へ,上がる,jnlp
位,へ,上がる,jnlp
位,へ,上がる,jnlp
位,へ,上がる,jnlp
曖昧性,を,反映する,jnlp
選好,を,反映する,jnlp
c,に,埋まり易い,jnlp
組み合わせ,を,探索する,jnlp
フレーム,が,まとめられる,jnlp
フレーム,が,分断される,jnlp
可能性,が,ある,jnlp
問題,に,対処する,jnlp
手法,に,導入する,jnlp
ベクトル,を,導入する,jnlp
違い,を,区別する,jnlp
違い,を,考慮せず,jnlp
目,で,行う,jnlp
初期化,を,行う,jnlp
各行,を,する,jnlp
要素,と,する,jnlp
対,を,する,jnlp
要素,と,する,jnlp
データ,が,与えられる,jnlp
translated,を,設定する,jnlp
こと,で,行う,jnlp
選択,を,行う,jnlp
訳,を,与える,jnlp
翻訳,を,模する,jnlp
時間,が,掛かる,jnlp
課題,に,対処する,jnlp
文書,から,抽出する,jnlp
表現,を,抽出する,jnlp
手法,が,提案される,jnlp
文書,から,自動抽出する,jnlp
頻度,に,基づく,jnlp
表現,を,自動抽出する,jnlp
辞書,を,作成する,jnlp
Microsoft,が,保有する,jnlp
ベース,を,利用する,jnlp
形,で,利用する,jnlp
年,に,行なわれる,jnlp
システム,を,提出する,jnlp
システム,が,得る,jnlp
法,で,用いる,jnlp
パラメーター,を,調節する,jnlp
精度,を,得る,jnlp
法,を,組み合わせる,jnlp
素性,を,変更する,jnlp
追加,で,行う,jnlp
特徴,を,調査する,jnlp
精度,が,得られる,jnlp
知見,が,得られる,jnlp
情報,を,提供する,jnlp
動詞,と,する,jnlp
名詞,が,伴う,jnlp
全体,を,抽出する,jnlp
エージェント,が,扱う,jnlp
ジャンル,に,属する,jnlp
点,を,する,jnlp
結果,が,与えられる,jnlp
例文,に,付与される,jnlp
設問,に,答える,jnlp
評価,を,行う,jnlp
判断,が,分かれない,jnlp
解説,を,参照する,jnlp
システム,が,処理できない,jnlp
現象,を,処理できない,jnlp
起源,と,する,jnlp
比率,に,基づく,jnlp
起源,と,する,jnlp
機械学習,に,基づく,jnlp
順,に,紹介する,jnlp
比較,で,得られない,jnlp
参照,を,許す,jnlp
こと,が,考えられる,jnlp
参照,が,影響する,jnlp
精度,に,影響する,jnlp
度合い,を,推測する,jnlp
必要,が,ある,jnlp
表現,に,付加する,jnlp
語尾,を,付加する,jnlp
モデル,を,提案する,jnlp
検証,を,行う,jnlp
実験,に,用いる,jnlp
モデル,から,予測される,jnlp
傾向,に,従う,jnlp
こと,が,示される,jnlp
妥当性,が,支持される,jnlp
コーパス,から,追加する,jnlp
関連,を,調べる,jnlp
例文,を,含む,jnlp
文,を,追加する,jnlp
毎,に,追加出来る,jnlp
文数,を,設定する,jnlp
関係,を,調べる,jnlp
文数,を,設定する,jnlp
文,と,設定する,jnlp
条件,を,満たす,jnlp
最初,に,出る,jnlp
コーパス,を,構造検索する,jnlp
手法,を,提案する,jnlp
構造,を,持つ,jnlp
文書,を,格納検索する,jnlp
手法,を,用いる,jnlp
木,で,表現される,jnlp
クエリー,を,変換する,jnlp
文,に,変換する,jnlp
検索,を,行う,jnlp
時間,が,増大する,jnlp
問題,を,解決する,jnlp
クエリー,を,分割する,jnlp
手法,を,提案する,jnlp
コーパス,から,計算する,jnlp
数,を,計算する,jnlp
クエリー,を,分割する,jnlp
検索,を,行う,jnlp
バウンド,を,提案する,jnlp
一方,で,提案する,jnlp
バウンド,を,提案する,jnlp
とこ,を,示す,jnlp
バウンド,を,採用する,jnlp
こと,で,期待出来る,jnlp
向上,が,期待出来る,jnlp
                 ,を,返す,jnlp
表,を,見る,jnlp
毎,で,異なる,jnlp
こと,が,分かる,jnlp
H,が,なる,jnlp
値,と,なる,jnlp
戦略,が,異なる,jnlp
為,と,考えられる,jnlp
7,を,作成する,jnlp
文,を,抽出する,jnlp
法,と,類似する,jnlp
戦略,を,取る,jnlp
4,を,作成する,jnlp
戦略,を,取る,jnlp
こと,が,読み取る,jnlp
表,から,読み取る,jnlp
結果,に,見られる,jnlp
正解,を,用いる,jnlp
品質,を,高められる,jnlp
相性,に,よらず,jnlp
枠組み,が,機能する,jnlp
こと,を,示唆する,jnlp
表現,が,存在しない,jnlp
表現,を,用いる,jnlp
此処,で,使う,jnlp
キーワード,が,出現する,jnlp
可能性,が,ある,jnlp
部分,を,把握する,jnlp
操作,に,持たせる,jnlp
重み,を,持たせる,jnlp
距離,が,ある,jnlp
毎,に,持つ,jnlp
対象,と,なる,jnlp
重み,を,持つ,jnlp
毎,に,重み付ける,jnlp
操作,が,行われる,jnlp
文字,が,持つ,jnlp
重み,を,付ける,jnlp
距離,を,変形する,jnlp
類似度,に,変形する,jnlp
次,に,示す,jnlp
定義,を,示す,jnlp
率,を,評価する,jnlp
回答,が,抽出される,jnlp
依存,を,含める,jnlp
x,が,不足する,jnlp
y,で,不足する,jnlp
変数,を,含む,jnlp
y,が,不足する,jnlp
パターン,で,抽出される,jnlp
語,を,抽出する,jnlp
パターン,で,取得される,jnlp
変数,を,含む,jnlp
どこ,が,渋滞する,jnlp
変数,を,含む,jnlp
パターン,が,抽出できない,jnlp
どこ,で,渋滞する,jnlp
質問,を,加える,jnlp
セット,に,加える,jnlp
パターン,が,適用される,jnlp
物,と,考える,jnlp
仕様,に,従う,jnlp
作業者,が,行う,jnlp
作業,を,行う,jnlp
項,に,付与される,jnlp
関係,に,ある,jnlp
つ,に,分類する,jnlp
頻度,を,求める,jnlp
関係,に,ある,jnlp
関係,に,ある,jnlp
こと,が,分かる,jnlp
項,が,出現する,jnlp
割,が,ある,jnlp
関係,に,ある,jnlp
場合,と,比較する,jnlp
箇所,が,異なる,jnlp
こと,が,分かる,jnlp
論文,で,収集できない,jnlp
こと,と,する,jnlp
階層,を,探索する,jnlp
上,へ,探索する,jnlp
候補,を,探す,jnlp
手法,と,似る,jnlp
スコア,が,用いられる,jnlp
確認,を,する,jnlp
必要,と,する,jnlp
中,に,表明される,jnlp
主観,を,扱う,jnlp
極性,を,判定する,jnlp
テキスト,から,抽出する,jnlp
態度,を,抽出する,jnlp
極性,を,判定する,jnlp
検索エンジン,を,用いる,jnlp
極性,を,判定する,jnlp
極性,を,判定する,jnlp
態度,を,抽出する,jnlp
文脈,を,追加する,jnlp
サポートセンター,に,よせられる,jnlp
態度,に,着目する,jnlp
事前,に,行く,jnlp
解析,から,用いる,jnlp
構造,を,用いる,jnlp
極性,を,含む,jnlp
文,を,抽出する,jnlp
極性,が,判定される,jnlp
態度,を,抽出する,jnlp
付き,で,抽出する,jnlp
極性,が,定義される,jnlp
極性,を,反転させる,jnlp
表現,が,出現する,jnlp
極性,を,組み合わせる,jnlp
辞書,を,用いる,jnlp
極性,に,着目する,jnlp
抽出,を,行う,jnlp
毎,に,計算する,jnlp
主体,が,持つ,jnlp
極性,を,持つ,jnlp
7,に,示す,jnlp
パターン,を,解析する,jnlp
述語,を,出力する,jnlp
名,を,持つ,jnlp
解析,から,得る,jnlp
項目,を,説明する,jnlp
情報,を,抽出する,jnlp
形,で,取り込まれる,jnlp
グラフ,に,取り込まれる,jnlp
グラフ,を,分割する,jnlp
グラフ,へ,分割する,jnlp
情報,と,なる,jnlp
文,を,する,jnlp
対象,に,する,jnlp
際,に,陥る,jnlp
所解,に,陥る,jnlp
言語,で,出現する,jnlp
文内,に,出現する,jnlp
句,が,出現する,jnlp
回数,に,ある,jnlp
差,が,ある,jnlp
場合,に,起こる,jnlp
省略,が,ある,jnlp
方,を,選択する,jnlp
周囲,に,ある,jnlp
対応,が,ある,jnlp
互い,に,引っ張り合う,jnlp
足,を,引っ張り合う,jnlp
所解,に,陥る,jnlp
アラインメント,が,得られる,jnlp
問題,を,解決する,jnlp
初期値,を,用意する,jnlp
探索,を,行う,jnlp
方法,を,取る,jnlp
アルゴリズム,を,改良する,jnlp
物,に,改良する,jnlp
必要,が,ある,jnlp
プロパゲーション,を,利用する,jnlp
下,で,戦う,jnlp
奪還,を,目指す,jnlp
議論,から,考えられる,jnlp
実験,を,通じる,jnlp
確認,を,行う,jnlp
システム,を,構築する,jnlp
文書,を,自動編集する,jnlp
利用形態,に,適する,jnlp
形,に,自動編集する,jnlp
必要性,が,説かれる,jnlp
能力,に,合わせる,jnlp
文面,に,なおす,jnlp
原稿,から,生成する,jnlp
字幕,を,生成する,jnlp
文書,を,表示する,jnlp
携帯端末,に,表示する,jnlp
ニュース,を,表示したい,jnlp
掲示板,に,表示したい,jnlp
字数,を,考慮する,jnlp
表現,に,言い替える,jnlp
技術,が,なる,jnlp
遷移,に,着目する,jnlp
傾向,を,示す,jnlp
仮説,を,立てる,jnlp
種類,を,示す,jnlp
働き,を,持つ,jnlp
関係,に,着目する,jnlp
毎,に,作成する,jnlp
グリッド,を,作成する,jnlp
モデル,を,提案する,jnlp
関係,を,考慮する,jnlp
方,が,得る,jnlp
モデル,に,比べる,jnlp
結果,を,得る,jnlp
こと,を,示す,jnlp
こと,を,示す,jnlp
意味,を,理解する,jnlp
部分,を,含む,jnlp
全体,を,提示する,jnlp
理解度,を,評価する,jnlp
其れ,に,相当する,jnlp
文,を,比較する,jnlp
レベル,を,与える,jnlp
文,に,与える,jnlp
名,で,行う,jnlp
内容,を,示す,jnlp
以下,に,示す,jnlp
人手,で,作成する,jnlp
名詞句,に,なる,jnlp
物,と,なる,jnlp
兼ね合い,で,重視する,jnlp
名詞句,を,重視する,jnlp
データ,を,増やす,jnlp
こと,で,期待出来る,jnlp
改善,が,期待出来る,jnlp
ステップ,から,構成される図1,jnlp
候補,を,対応させる,jnlp
テキスト,から,生成する,jnlp
候補,を,生成する,jnlp
文,を,分割する,jnlp
列,に,分割する,jnlp
こと,で,得られる,jnlp
局面,を,対応させる,jnlp
ネットワーク,を,用いる,jnlp
こと,で,行う,jnlp
シンボルグラウンディング,を,行う,jnlp
最後,に,生成する,jnlp
結果,を,用いる,jnlp
辞書,を,生成する,jnlp
手法,に,取り入れる,jnlp
13,に,示す,jnlp
間,に,ある,jnlp
路,が,ある,jnlp
等,が,類似する,jnlp
毎,に,加算する,jnlp
得点,を,加算する,jnlp
こと,で,実現する,jnlp
毎,に,示す,jnlp
a,に,示す,jnlp
上,に,存在する,jnlp
エージェント,が,存在する,jnlp
10,を,加える,jnlp
互い,に,似る,jnlp
互い,に,似る,jnlp
合計値,を,合計する,jnlp
結果,を,除算する,jnlp
数,で,除算する,jnlp
値,を,する,jnlp
類似度,と,する,jnlp
実験,に,用いる,jnlp
実験,に,用いる,jnlp
こと,を,上げる,jnlp
データ,を,する,jnlp
対象,と,する,jnlp
実験,を,行う,jnlp
結果,と,比較する,jnlp
必要,が,ある,jnlp
節,で,述べる,jnlp
問題,と,捉えられる,jnlp
データ,を,想定する,jnlp
手法,を,提案する,jnlp
イテレーション,に,得られる,jnlp
場合,に,判定する,jnlp
拡張,を,行う,jnlp
集合,を,得る,jnlp
手法,を,提案する,jnlp
関係,を,表現する,jnlp
上,で,表現する,jnlp
単語,が,該当しない,jnlp
例,に,該当しない,jnlp
等,を,用いる,jnlp
ドリフト,を,押さえる,jnlp
手法,を,提案する,jnlp
ドリフト,を,生じ易い,jnlp
単語,を,捉える,jnlp
こと,を,する,jnlp
主眼,と,する,jnlp
ドリフト,が,生じる,jnlp
トピック,に,設ける,jnlp
制約,を,設ける,jnlp
目的,で,捉える,jnlp
例,を,捉える,jnlp
点,で,異なる,jnlp
ドリフト,を,押さえる,jnlp
例,を,抽出出来る,jnlp
例,が,なる,jnlp
例,に,なる,jnlp
例,を,生じる,jnlp
可能性,が,ある,jnlp
ドリフト,を,生じ易い,jnlp
性,が,存在する,jnlp
解消,を,併用する,jnlp
単語,が,用いられる,jnlp
判断,を,行う,jnlp
単語,が,用いられる,jnlp
データ,を,増やす,jnlp
観点,に,見合う,jnlp
手法,と,なる,jnlp
手法,を,提案する,jnlp
ベクトル,を,作成する,jnlp
距離,を,計算する,jnlp
語義,を,求める,jnlp
V,を,連結する,jnlp
V,を,連結する,jnlp
V,を,連結する,jnlp
通り,で,行う,jnlp
実験,を,行う,jnlp
もと,に,変換する,jnlp
コーパス,を,変換する,jnlp
分かち書き,に,変換する,jnlp
表,から,定義する,jnlp
方法,で,定義する,jnlp
其々,で,行う,jnlp
実験,を,行う,jnlp
場合,が,なる,jnlp
精度,と,なる,jnlp
ldawn,を,越える,jnlp
精度,を,出す,jnlp
こと,が,確認出来る,jnlp
結果,を,分析する,jnlp
場合,と,比べる,jnlp
傾向,に,ある,jnlp
ばらつき,が,ある,jnlp
こと,が,確認出来る,jnlp
手法,で,向上させる,jnlp
精度,を,向上させる,jnlp
コーパス,から,獲得する,jnlp
用例,を,獲得する,jnlp
幅,を,する,jnlp
方法,で,確保する,jnlp
数,を,確保する,jnlp
こと,が,考えられる,jnlp
学習,が,出来る,jnlp
精度,が,向上する,jnlp
研究,で,開発される,jnlp
学習,に,使用する,jnlp
パラメーター,を,選択する,jnlp
手法,が,開発される,jnlp
法,を,使用する,jnlp
法,を,使用する,jnlp
重み,を,獲得出来る,jnlp
感想文,を,分類する,jnlp
形態素,から,分類する,jnlp
五指,を,折り曲げる,jnlp
右手,を,回転させる,jnlp
前,で,回転させる,jnlp
訳語,から,判定する,jnlp
属性,を,自動推定する,jnlp
方法,を,示す,jnlp
作成,に,適用する,jnlp
属性,を,比較する,jnlp
比較,を,行う,jnlp
属性,が,与える,jnlp
結果,に,与える,jnlp
影響,を,調べる,jnlp
辞書,を,使用する,jnlp
属性,を,使用する,jnlp
専門家,が,使用する,jnlp
訳語,を,見る,jnlp
属性,を,使用する,jnlp
実験,を,行う,jnlp
ニチモウ,が,所有する,jnlp
